City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,brady,31.1352,-99.3351,29.18,65,20,5.66,US,1683819218
273,olinda,-8.0089,-34.8553,29.85,58,40,3.09,BR,1683819218
274,tanjung pandan,-2.75,107.65,25.95,89,78,2.5,ID,1683819218
275,pangody,65.85,74.4859,-10.63,93,26,3.27,RU,1683818889
276,escanaba,45.7453,-87.0646,21.81,67,0,5.66,US,1683819218
277,banff,51.1762,-115.5698,7.57,81,75,2.57,CA,1683819132
278,kangaba,11.9333,-8.4167,42.08,6,100,3.22,ML,1683819219
279,cartagena,10.3997,-75.5144,30.79,74,20,5.66,CO,1683818838
280,salinopolis,-0.6136,-47.3561,29.0,69,84,3.51,BR,1683819219
281,tralee,52.2704,-9.7026,13.14,82,100,6.69,IE,1683818783
282,inari,68.906,27.0288,14.11,90,100,2.94,FI,1683818875
283,axim,4.8699,-2.2405,29.63,71,100,3.8,GH,1683819220
284,mount pearl,47.5166,-52.7813,11.36,46,40,9.77,CA,1683819220
285,bayramaly,37.6185,62.1671,26.86,34,1,3.81,TM,1683819220
286,santa ana de yacuma,-13.75,-65.4333,25.97,69,75,6.17,BO,1683819221
287,kvissleby,62.2936,17.375,15.91,38,11,3.52,SE,1683819221
288,yeniseysk,58.4497,92.1703,5.69,58,97,1.1,RU,1683819221
289,luwingu,-10.2621,29.9271,19.51,67,99,1.66,ZM,1683819221
290,ust-nera,64.5667,143.2,0.44,87,99,2.65,RU,1683818503
291,sinabang,2.4803,96.3801,27.7,85,100,4.4,ID,1683819222
292,andilamena,-17.0167,48.5833,17.36,90,41,2.72,MG,1683819222
293,eirunepe,-6.6603,-69.8736,31.81,50,81,1.64,BR,1683819222
294,santa vitoria do palmar,-33.5189,-53.3681,17.56,57,60,3.57,BR,1683819222
295,phayao,19.25,100.25,25.79,91,69,1.42,TH,1683819223
296,ormara,25.2088,64.6357,28.83,73,0,7.06,PK,1683819223
297,undurkhaan,47.3194,110.6556,7.42,55,53,7.41,MN,1683819223
298,mount gambier,-37.8333,140.7667,10.27,90,100,2.2,AU,1683818797
299,smara,26.7384,-11.6719,37.9,13,87,6.91,EH,1683819223
300,colby,39.3958,-101.0524,16.11,83,100,7.15,US,1683819224
301,aral,40.5156,81.2636,22.55,5,14,4.02,CN,1683818799
302,dusti,37.3481,68.664,27.72,20,100,0.83,TJ,1683819224
303,kralendijk,12.15,-68.2667,29.99,66,75,7.72,BQ,1683819224
304,westport,41.1415,-73.3579,25.37,38,1,1.34,US,1683819224
305,cole harbour,44.6724,-63.4751,18.66,58,75,4.12,CA,1683819020
306,ternate,0.8,127.4,28.05,77,100,1.11,ID,1683819225
307,mount isa,-20.7333,139.5,14.87,38,0,2.06,AU,1683819225
308,tharangambadi,11.0319,79.8528,29.68,81,100,7.97,IN,1683819225
309,imperatriz,-5.5264,-47.4917,30.03,79,40,3.09,BR,1683819226
310,yumbe,3.4651,31.2469,22.79,80,98,1.48,UG,1683819226
311,acajutla,13.5928,-89.8275,29.78,65,7,2.16,SV,1683818887
312,lodja,-3.4833,23.4333,26.32,67,100,1.04,CD,1683819226
313,eyl,7.9803,49.8164,28.25,78,100,7.75,SO,1683819227
314,rheinsberg,53.0997,12.8989,17.17,58,100,3.49,DE,1683819227
315,robit,12.0167,39.6333,23.03,64,60,0.18,ET,1683819227
316,lompoc,34.6391,-120.4579,13.8,78,70,4.47,US,1683818513
317,colonia,50.9333,6.95,18.31,70,75,4.12,DE,1683818751
318,sur,22.5667,59.5289,32.82,42,0,0.92,OM,1683819067
319,barentu,15.1139,37.5928,34.08,10,64,4.08,ER,1683819228
320,constantia,44.1833,28.65,13.38,63,56,5.15,RO,1683818776
321,keokuk,40.3973,-91.3849,22.37,78,20,3.6,US,1683819229
322,carnarvon,-24.8667,113.6333,22.18,66,0,8.26,AU,1683818801
323,weno,7.4515,151.8468,28.58,77,97,3.27,FM,1683818890
324,boulder city,35.9786,-114.8325,22.37,24,0,1.36,US,1683819229
325,north side,19.35,-81.2,30.04,70,40,6.69,KY,1683819229
326,pandan,14.0453,124.1694,26.86,81,28,2.99,PH,1683818877
327,sao felix do xingu,-6.6447,-51.995,32.42,48,83,0.69,BR,1683818592
328,zakamensk,50.3741,103.2863,0.31,74,5,1.05,RU,1683819230
329,whitehorse,60.7161,-135.0538,8.23,55,75,5.66,CA,1683819230
330,benghazi,32.1167,20.0667,21.18,68,7,8.1,LY,1683818985
331,bandarbeyla,9.4942,50.8122,27.66,82,100,9.58,SO,1683819231
332,remire-montjoly,4.9167,-52.2667,26.02,89,75,4.12,GF,1683818802
333,arkhangel'sk,64.5401,40.5433,13.02,54,100,3.71,RU,1683818823
334,degache,33.9761,8.2081,33.18,21,40,6.17,TN,1683819231
335,nishinoomote,30.7333,131.0,20.34,60,13,2.01,JP,1683819232
336,hami,42.8,93.45,22.35,11,0,0.2,CN,1683818857
337,yarmouth,41.7057,-70.2286,24.8,56,0,4.12,US,1683819232
338,hirara,24.8,125.2833,21.92,78,75,2.57,JP,1683819232
339,susuman,62.7833,148.1667,-0.87,89,93,1.56,RU,1683818778
340,bhamo,24.2667,97.2333,26.05,53,100,0.46,MM,1683819232
341,punta del este,-34.9667,-54.95,16.06,83,75,4.47,UY,1683818956
342,ust'-ilimsk,58.0006,102.6619,3.08,60,100,2.43,RU,1683819233
343,naama,33.2667,-0.3167,28.63,14,19,6.54,DZ,1683819233
344,ibotirama,-12.1853,-43.2206,34.85,31,93,0.95,BR,1683819027
345,carbonear,47.7332,-53.2148,12.08,51,12,5.48,CA,1683818815
